timestamps,TP9,AF7,AF8,TP10,Right AUX
1706612752.688,-32.227,-144.531,-57.129,-68.359,-77.148
1706612752.692,-37.109,-143.066,-55.664,-78.613,-0.488
1706612752.696,-49.805,-145.020,-57.129,-79.590,61.035
1706612752.699,-50.781,-180.664,-62.012,-66.406,362.793
1706612752.703,-43.945,-143.066,-65.918,-56.641,505.859
1706612752.707,-26.367,-85.938,-58.594,-60.059,375.977
1706612752.711,-11.230,-126.465,-55.664,-83.496,324.219
1706612752.715,-22.949,-133.789,-59.082,-102.051,202.148
1706612752.718,-46.875,-120.605,-55.664,-90.332,93.750
1706612752.722,-51.758,-133.789,-49.316,-82.520,158.203
1706612752.726,-50.781,-148.438,-49.805,-89.844,260.742
1706612752.730,-54.688,-128.906,-49.805,-104.004,217.773
1706612752.734,-46.875,-117.676,-50.781,-97.656,157.715
1706612752.738,-33.203,-144.531,-57.617,-81.543,60.547
1706612752.742,-32.227,-175.781,-62.012,-54.199,197.266
1706612752.745,-33.203,-135.254,-56.641,-61.035,-3.418
1706612752.749,-15.625,-112.305,-48.340,-93.262,-260.254
1706612752.753,-23.438,-134.766,-48.828,-81.055,-97.656
1706612752.757,-28.809,-140.137,-53.711,-69.336,-124.512
1706612752.761,-37.598,-121.582,-54.688,-74.219,-294.922
1706612752.762,-34.180,-127.441,-52.734,-79.590,-257.324
1706612752.766,-25.391,-140.625,-49.316,-78.613,-157.227
1706612752.770,-35.156,-129.395,-46.875,-70.801,-169.922
1706612752.774,-30.762,-126.953,-49.805,-56.152,-187.012
1706612752.778,-19.531,-135.742,-54.688,-45.898,-214.355
1706612752.782,-21.973,-153.320,-53.711,-56.641,-115.234
1706612752.786,-20.996,-168.457,-52.734,-61.035,222.656
1706612752.789,-33.691,-109.863,-52.734,-66.895,33.203
1706612752.793,-31.250,-93.750,-46.387,-60.547,-174.316
1706612752.797,-16.113,-124.512,-45.898,-43.457,-35.645
1706612752.801,-26.367,-128.906,-54.199,-56.152,-29.297
1706612752.805,-43.945,-111.816,-51.758,-78.613,-50.293
1706612752.809,-38.574,-108.398,-47.363,-66.406,-58.594
1706612752.813,-23.438,-143.555,-53.711,-41.992,-5.371
1706612752.817,-14.648,-122.070,-57.617,-45.898,-51.270
1706612752.821,-17.578,-100.098,-54.199,-57.129,-147.949
1706612752.825,-30.273,-122.559,-54.199,-62.500,-96.191
1706612752.829,-45.898,-146.484,-57.129,-51.270,-6.836
1706612752.833,-47.852,-126.465,-55.664,-59.570,18.555
1706612752.836,-44.434,-97.656,-59.082,-63.477,-61.523
1706612752.840,-27.344,-116.211,-57.617,-48.340,-101.074
1706612752.844,-16.602,-155.273,-62.500,-52.246,90.820
1706612752.848,-32.227,-109.863,-60.059,-70.312,39.551
1706612752.852,-48.340,-91.797,-51.758,-60.547,-101.074
1706612752.868,-43.945,-127.441,-51.758,-38.574,-20.508
1706612752.872,-25.391,-126.465,-54.199,-44.434,-2.441
1706612752.876,-26.855,-105.469,-50.781,-69.824,-118.652
1706612752.880,-26.855,-108.398,-53.711,-73.730,-104.004
1706612752.884,-24.902,-140.625,-59.570,-52.734,68.848
1706612752.888,-35.156,-157.715,-58.105,-30.762,297.852
1706612752.892,-35.645,-112.305,-51.270,-25.879,182.129
1706612752.895,-32.227,-100.098,-51.758,-61.035,-7.812
1706612752.899,-26.367,-147.949,-55.664,-70.801,-14.160
1706612752.903,-38.574,-143.066,-58.594,-54.199,89.844
1706612752.907,-39.551,-106.445,-56.641,-53.711,-12.207
1706612752.911,-5.859,-126.465,-54.199,-59.082,-21.484
1706612752.913,4.883,-142.578,-57.129,-66.406,30.762
1706612752.917,6.836,-125.488,-52.246,-73.242,-9.766
1706612752.921,2.441,-125.000,-52.734,-58.594,-111.328
1706612752.925,-17.090,-144.531,-57.617,-17.578,4.395
1706612752.929,-11.230,-157.227,-60.547,-10.254,173.340
1706612752.933,-19.043,-145.508,-53.711,-23.438,125.000
1706612752.937,-39.551,-127.930,-46.387,-26.855,102.539
1706612752.940,-29.785,-129.395,-49.805,-20.508,2.930
1706612752.944,-17.090,-174.805,-54.199,-4.395,158.203
1706612752.948,-18.066,-137.207,-52.734,-3.906,286.133
1706612752.952,-20.996,-90.820,-49.316,-6.348,49.316
1706612752.956,-13.672,-117.676,-52.246,-4.395,1.465
1706612752.957,-11.719,-122.559,-54.199,-14.648,35.156
1706612752.961,-27.344,-123.535,-52.734,-22.461,-47.363
1706612752.965,-29.297,-130.859,-58.105,-12.207,-119.629
1706612752.969,-23.926,-145.996,-59.570,-10.742,20.508
1706612752.973,-34.668,-143.555,-57.129,-24.414,176.270
1706612752.977,-20.996,-126.953,-64.453,-20.508,54.688
1706612752.981,-0.977,-121.094,-62.988,-8.789,34.180
1706612752.984,-7.324,-139.160,-53.711,-15.625,171.875
1706612752.988,-7.812,-174.316,-54.199,-11.719,376.953
1706612752.992,-40.039,-126.953,-50.293,-16.113,199.707
1706612752.996,-67.871,-103.516,-50.293,-23.926,-64.941
1706612753.000,-42.969,-137.695,-54.688,-10.254,46.875
1706612753.003,-21.484,-133.301,-53.223,8.789,16.602
1706612753.007,-28.809,-129.883,-53.223,1.953,-58.105
1706612753.011,-37.598,-142.090,-57.129,-20.996,29.785
1706612753.015,-43.945,-149.902,-57.617,-30.273,31.738
1706612753.019,-47.363,-134.277,-55.176,-23.926,-4.883
1706612753.023,-40.039,-139.160,-53.223,-5.859,73.242
1706612753.027,-11.719,-149.902,-56.152,-5.371,89.844
1706612753.030,1.953,-175.781,-57.617,-0.977,326.660
1706612753.034,-41.992,-140.625,-54.199,-0.977,358.398
1706612753.038,-49.316,-108.398,-52.734,-2.441,53.223
1706612753.042,-26.855,-140.137,-51.758,8.301,83.496
1706612753.046,-14.160,-148.926,-53.711,5.371,146.484
1706612753.047,-10.742,-137.207,-58.105,-6.836,51.270
1706612753.051,-24.414,-139.648,-62.988,-9.277,62.988
1706612753.055,-33.691,-156.250,-58.105,-3.906,77.148
1706612753.059,-35.645,-155.762,-60.059,-8.789,65.918
1706612753.063,-17.578,-152.344,-63.477,-8.301,132.324
1706612753.067,-19.043,-141.602,-58.105,-12.695,132.812
1706612753.071,-24.414,-152.832,-57.129,-4.883,193.359
1706612753.074,-26.367,-175.293,-59.570,11.230,417.969
1706612753.078,-41.504,-118.164,-58.594,7.812,194.336
1706612753.082,-24.902,-106.934,-57.617,10.254,-65.918
1706612753.086,-12.207,-143.066,-62.500,9.277,76.172
1706612753.090,-22.461,-123.047,-61.035,4.883,99.609
1706612753.093,-28.809,-113.770,-53.711,6.836,-28.809
1706612753.097,-19.531,-130.859,-54.199,10.254,-85.938
1706612753.101,9.277,-150.391,-56.152,16.113,43.457
1706612753.105,2.441,-127.930,-53.223,19.531,-13.672
1706612753.109,-26.367,-118.652,-51.758,14.160,-110.840
1706612753.113,-35.645,-147.949,-52.246,13.672,36.621
1706612753.117,-22.461,-168.457,-54.688,8.301,343.262
1706612753.120,-15.625,-121.582,-57.129,-9.277,332.520
1706612753.124,-39.062,-101.074,-60.059,-12.695,-7.812
1706612753.128,-53.223,-132.324,-64.453,-9.766,-12.695
1706612753.132,-41.504,-136.719,-60.547,0.000,42.480
1706612753.136,-32.715,-137.207,-57.617,12.207,-64.941
1706612753.138,-19.531,-150.391,-62.012,26.367,-64.941
1706612753.142,-13.672,-152.832,-58.594,17.090,37.109
1706612753.146,-22.461,-137.695,-55.664,-0.977,47.852
1706612753.150,-36.133,-125.488,-59.570,1.953,92.773
1706612753.154,-41.992,-135.254,-63.477,7.324,145.020
1706612753.158,-26.367,-147.461,-59.570,30.273,146.973
1706612753.162,-17.090,-169.434,-57.617,26.855,492.676
1706612753.165,-31.738,-117.188,-53.711,-14.160,299.805
1706612753.169,-28.809,-104.492,-47.363,-11.719,-39.062
1706612753.173,-19.531,-139.160,-47.363,18.066,-25.879
1706612753.177,-40.039,-124.023,-48.340,21.973,-64.453
1706612753.181,-45.898,-115.234,-46.875,12.695,-55.664
1706612753.198,-25.391,-126.953,-50.293,6.348,20.508
1706612753.202,-37.109,-142.090,-58.594,1.953,62.500
1706612753.206,-49.316,-138.184,-54.199,-1.465,39.551
1706612753.210,-45.410,-128.418,-49.805,8.789,-11.230
1706612753.214,-45.410,-129.883,-52.734,10.742,-12.207
1706612753.218,-22.461,-171.875,-57.617,11.719,250.977
1706612753.222,-33.691,-144.531,-53.711,1.465,321.777
1706612753.225,-68.359,-99.121,-49.316,-8.301,46.875
1706612753.229,-58.594,-125.488,-46.387,-2.930,7.812
1706612753.233,-50.293,-133.301,-51.758,-19.531,95.703
1706612753.237,-52.734,-148.926,-53.223,-9.766,219.727
1706612753.241,-52.246,-184.082,-54.688,20.508,458.008
1706612753.242,-49.805,-133.301,-47.852,7.812,208.496
1706612753.246,-43.945,-115.234,-42.480,-14.160,-123.047
1706612753.250,-44.434,-140.625,-47.852,-14.648,-1.953
1706612753.254,-31.738,-124.023,-52.246,-10.254,-16.113
1706612753.258,-20.996,-131.348,-54.199,-5.859,-59.570
1706612753.262,-42.969,-159.180,-49.805,2.441,96.680
1706612753.266,-55.664,-150.879,-48.828,-8.789,218.750
1706612753.269,-68.359,-132.324,-55.664,-21.973,135.254
1706612753.273,-64.941,-138.672,-50.781,-11.230,8.301
1706612753.277,-28.809,-165.039,-49.316,12.207,220.703
1706612753.281,-32.227,-172.363,-59.082,7.812,394.531
1706612753.285,-56.152,-99.609,-56.641,-29.297,84.473
1706612753.302,-43.945,-93.750,-56.641,-27.832,-76.172
1706612753.306,-18.555,-126.465,-61.035,-8.301,32.227
1706612753.310,-2.930,-108.398,-55.176,12.695,6.836
1706612753.314,-35.645,-111.816,-53.711,-3.418,-88.867
1706612753.318,-51.758,-135.742,-59.570,-21.484,-93.262
1706612753.322,-49.316,-150.879,-61.523,-8.789,40.527
1706612753.326,-44.922,-133.301,-59.570,-1.953,51.270
1706612753.329,-29.785,-109.375,-56.152,0.000,-37.109
1706612753.333,-25.879,-132.812,-60.547,0.000,1.465
1706612753.337,-18.555,-172.363,-62.988,1.465,248.047
1706612753.341,-33.691,-119.629,-56.641,-20.508,161.621
1706612753.345,-34.668,-99.121,-58.105,-21.973,-47.852
1706612753.346,-17.090,-130.859,-59.082,-4.395,46.875
1706612753.350,-23.926,-135.742,-64.453,-12.695,20.020
1706612753.354,-30.762,-125.000,-68.359,-28.320,-138.672
1706612753.358,-46.875,-135.254,-65.918,-17.578,-149.414
1706612753.362,-62.500,-161.133,-67.871,-17.090,-40.527
1706612753.366,-57.617,-161.621,-66.895,-38.574,204.102
1706612753.370,-38.574,-144.043,-66.406,-46.387,127.930
1706612753.373,-43.457,-130.371,-64.453,-46.387,-89.355
1706612753.377,-52.246,-157.227,-64.941,-27.344,92.773
1706612753.381,-38.574,-146.973,-65.430,-24.902,269.043
1706612753.385,-37.109,-110.840,-61.523,-38.574,25.879
1706612753.389,-36.133,-142.090,-61.035,-31.250,-3.906
1706612753.392,-37.598,-162.598,-62.500,-32.227,111.816
1706612753.396,-50.293,-130.859,-58.594,-41.016,41.504
1706612753.400,-45.898,-117.188,-52.734,-35.645,-9.277
1706612753.404,-35.645,-142.090,-54.199,-27.832,-31.738
1706612753.408,-34.180,-152.344,-54.688,-20.020,-7.812
1706612753.412,-19.531,-149.902,-54.199,-31.250,26.367
1706612753.416,-20.996,-142.578,-58.594,-58.105,70.312
1706612753.419,-51.270,-151.367,-56.641,-54.688,32.715
1706612753.423,-62.012,-181.641,-59.570,-35.645,147.949
1706612753.427,-55.664,-128.418,-61.523,-37.598,83.496
1706612753.431,-46.387,-110.352,-56.641,-40.039,-115.723
1706612753.435,-44.434,-137.695,-51.758,-40.527,-111.816
1706612753.440,-43.945,-138.672,-53.223,-35.156,-60.059
1706612753.444,-32.715,-148.926,-56.152,-33.203,-26.855
1706612753.448,-34.668,-144.531,-51.270,-34.668,-8.789
1706612753.452,-37.598,-157.227,-55.176,-36.133,38.574
1706612753.456,-29.297,-170.898,-55.664,-27.832,178.223
1706612753.460,-43.945,-132.812,-50.781,-36.133,100.098
1706612753.464,-60.059,-126.953,-48.828,-38.574,-5.371
1706612753.467,-48.340,-159.668,-53.711,-18.066,85.938
1706612753.471,-42.480,-151.855,-65.430,-42.969,184.082
1706612753.475,-49.805,-110.352,-63.477,-62.012,-3.418
1706612753.479,-44.434,-128.906,-60.059,-40.039,-110.352
1706612753.483,-38.086,-141.602,-62.988,-44.922,-45.898
1706612753.481,-41.504,-123.535,-59.082,-44.922,-83.008
